NAME,FUNCTION LOCATION,DESCRIPTION,PARAMETERS,RETURNS,DEPENDANCY,DEPENDANCY LOCATION
order_dict(d):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Order dict by its values.    o = list(d.items()) def _key(x): return x[1] + (x[0],) return sorted(o, key=_key)
",,,sort ; sort ; ,Return ;Return ;
merge_api_dicts(dicts):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,,
check_api_dict(d):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Check that an api dict is valid (does not use the same index twice). # remove the extra value fields that aren't the index    index_d = {k: v[0] for k, v in d.items()}
 # We have if a same index is used twice: we 'revert' the dict so that index # become keys. If the length is different, it means one index has been used # at least twice    revert_dict = {v: k for k, v in index_d.items()} if not len(revert_dict) == len(index_d): # We compute a dict index -> list of associated items        doubled = {} for name, index in index_d.items(): try:                doubled[index].append(name) except KeyError:                doubled[index] = [name]        fmt = ""Same index has been used twice in api definition: {}""        val = ''.join( '\n\tindex {} -> {}'.format(index, names) for index, names in doubled.items() if len(names) != 1        ) raise ValueError(fmt.format(val))
 # No 'hole' in the indexes may be allowed, and it must starts at 0    indexes = set(index_d.values())    expected = set(range(len(indexes))) if indexes != expected:        diff = expected.symmetric_difference(indexes)        msg = ""There are some holes in the API indexing: "" \ ""(symmetric diff is %s)"" % diff raise ValueError(msg)
",,,index ; index ; index ; index ; index ; mean ; diff ; index ; index ; index ; put ; put ; index ; index ; append ; index ; index ; join ; index ; index ; index ; all ; index ; index ; index ; index ; diff ; tri ; index ; diff ; tri ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"get_api_functions(tagname, api_dict):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Parse source files to get functions tagged by the given tag.    functions = [] for f in API_FILES:        functions.extend(find_functions(f, tagname))    dfunctions = [(api_dict[func.name][0], func) for func in functions]    dfunctions.sort() return [a[1] for a in dfunctions]
",,,get ; source ; find_functions ; find ; sort ; sort ; ,Body ;Body ;Body ;Body ;Body ;Body ;
fullapi_hash(api_dicts):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Given a list of api dicts defining the numpy C API, compute a checksum",,,put ; sum ; put ; tri ; order_dict ; join ; encode ; join ; sum ; where ; tri ; where ; sum ; ,Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;
get_versions_hash():,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,join ; append ; ,Body ;Body ;
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_numpy_api.py,"h_template = r#if defined(_MULTIARRAYMODULE) || defined(WITH_CPYCHECKER_STEALS_REFERENCE_TO_ARG_ATTRIBUTE)typedef struct {        PyObject_HEAD        npy_bool obval;} PyBoolScalarObject;extern NPY_NO_EXPORT PyTypeObject PyArrayMapIter_Type;extern NPY_NO_EXPORT PyTypeObject PyArrayNeighborhoodIter_Type;extern NPY_NO_EXPORT PyBoolScalarObject _PyArrayScalar_BoolValues[2];%s#else#if defined(PY_ARRAY_UNIQUE_SYMBOL)#define PyArray_API PY_ARRAY_UNIQUE_SYMBOL#endif#if defined(NO_IMPORT) || defined(NO_IMPORT_ARRAY)extern void **PyArray_API;#else#if defined(PY_ARRAY_UNIQUE_SYMBOL)void **PyArray_API;#elsestatic void **PyArray_API=NULL;#endif#endif%s#if !defined(NO_IMPORT_ARRAY) && !defined(NO_IMPORT)static int_import_array(void){  int st;  PyObject *numpy = PyImport_ImportModule(""numpy.core._multiarray_umath"");  PyObject *c_api = NULL;  if (numpy == NULL) {      return -1;  }  c_api = PyObject_GetAttrString(numpy, ""_ARRAY_API"");  Py_DECREF(numpy);  if (c_api == NULL) {      PyErr_SetString(PyExc_AttributeError, ""_ARRAY_API not found"");      return -1;  }#if PY_VERSION_HEX >= 0x03000000  if (!PyCapsule_CheckExact(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is not PyCapsule object"");      Py_DECREF(c_api);      return -1;  }  PyArray_API = (void **)PyCapsule_GetPointer(c_api, NULL);#else  if (!PyCObject_Check(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is not PyCObject object"");      Py_DECREF(c_api);      return -1;  }  PyArray_API = (void **)PyCObject_AsVoidPtr(c_api);#endif  Py_DECREF(c_api);  if (PyArray_API == NULL) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is NULL pointer"");      return -1;  }  /* Perform runtime check of C API version */  if (NPY_VERSION != PyArray_GetNDArrayCVersion()) {      PyErr_Format(PyExc_RuntimeError, ""module compiled against ""\             ""ABI version 0x%%x but this version of numpy is 0x%%x"", \ (int) NPY_VERSION, (int) PyArray_GetNDArrayCVersion());      return -1;  }  if (NPY_FEATURE_VERSION > PyArray_GetNDArrayCFeatureVersion()) {      PyErr_Format(PyExc_RuntimeError, ""module compiled against ""\             ""API version 0x%%x but this version of numpy is 0x%%x"", \ (int) NPY_FEATURE_VERSION, (int) PyArray_GetNDArrayCFeatureVersion());      return -1;  }  /* * Perform runtime check of endianness and check it matches the one set by * the headers (npy_endian.h) as a safeguard */  st = PyArray_GetEndianness();  if (st == NPY_CPU_UNKNOWN_ENDIAN) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as unknown endian"");      return -1;  }#if NPY_BYTE_ORDER == NPY_BIG_ENDIAN  if (st != NPY_CPU_BIG) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as ""\             ""big endian, but detected different endianness at runtime"");      return -1;  }#elif NPY_BYTE_ORDER == NPY_LITTLE_ENDIAN  if (st != NPY_CPU_LITTLE) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as ""\             ""little endian, but detected different endianness at runtime"");      return -1;  }#endif  return 0;}#if PY_VERSION_HEX >= 0x03000000#define NUMPY_IMPORT_ARRAY_RETVAL NULL#else#define NUMPY_IMPORT_ARRAY_RETVAL#endif#define import_array() {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, ""numpy.core.multiarray failed to import""); return NUMPY_IMPORT_ARRAY_RETVAL; } }#define import_array1(ret) {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, ""numpy.core.multiarray failed to import""); return ret; } }#define import_array2(msg, ret) {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, msg); return ret; } }#endif#endif",,,int_func ; eig ; eigh ; array ; array ; array ; array ; tri ; tri ; tri ; tri ; tri ; mod ; mod ; mod ; mod ; diff ; det ; mod ; diff ; det ; array ; tri ; array ; array ; tri ; array ; array ; tri ; array ; mod ; put ; rate ; put ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Return ;Return ;Return ;Return ;Return ;Body ;Argument ;Argument ;Argument ;
"generate_api(output_dir, force=False):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_numpy_api.py,,,,array ; array ; join ; put ; put ; join ; put ; put ; join ; put ; put ; get ; array ; source ; array ; should_rebuild ; get ; get ; generate_api ; generate_api ; get ; rate ; source ; get ; generate_api ; generate_api ; get ; rate ; source ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Return ;Argument ;Argument ;Argument ;Argument ;Argument ;
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_ufunc_api.py,"h_template = r#ifdef _UMATHMODULEextern NPY_NO_EXPORT PyTypeObject PyUFunc_Type;%s#else#if defined(PY_UFUNC_UNIQUE_SYMBOL)#define PyUFunc_API PY_UFUNC_UNIQUE_SYMBOL#endif#if defined(NO_IMPORT) || defined(NO_IMPORT_UFUNC)extern void **PyUFunc_API;#else#if defined(PY_UFUNC_UNIQUE_SYMBOL)void **PyUFunc_API;#elsestatic void **PyUFunc_API=NULL;#endif#endif%sstatic NPY_INLINE int_import_umath(void){  PyObject *numpy = PyImport_ImportModule(""numpy.core._multiarray_umath"");  PyObject *c_api = NULL;  if (numpy == NULL) {      PyErr_SetString(PyExc_ImportError,                      ""numpy.core._multiarray_umath failed to import"");      return -1;  }  c_api = PyObject_GetAttrString(numpy, ""_UFUNC_API"");  Py_DECREF(numpy);  if (c_api == NULL) {      PyErr_SetString(PyExc_AttributeError, ""_UFUNC_API not found"");      return -1;  }#if PY_VERSION_HEX >= 0x03000000  if (!PyCapsule_CheckExact(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is not PyCapsule object"");      Py_DECREF(c_api);      return -1;  }  PyUFunc_API = (void **)PyCapsule_GetPointer(c_api, NULL);#else  if (!PyCObject_Check(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is not PyCObject object"");      Py_DECREF(c_api);      return -1;  }  PyUFunc_API = (void **)PyCObject_AsVoidPtr(c_api);#endif  Py_DECREF(c_api);  if (PyUFunc_API == NULL) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is NULL pointer"");      return -1;  }  return 0;}#if PY_VERSION_HEX >= 0x03000000#define NUMPY_IMPORT_UMATH_RETVAL NULL#else#define NUMPY_IMPORT_UMATH_RETVAL#endif#define import_umath() \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\            return NUMPY_IMPORT_UMATH_RETVAL;\        }\    } while(0)#define import_umath1(ret) \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\            return ret;\        }\    } while(0)#define import_umath2(ret, msg) \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError, msg);\            return ret;\        }\    } while(0)#define import_ufunc() \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\        }\    } while(0)#endif",,,int_func ; array ; array ; tri ; array ; array ; tri ; tri ; tri ; tri ; tri ; tri ; tri ; tri ; tri ; mod ; put ; rate ; put ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;
"generate_api(output_dir, force=False):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_ufunc_api.py,,,,join ; put ; put ; join ; put ; put ; join ; put ; put ; get ; source ; should_rebuild ; get ; source ; get ; generate_api ; generate_api ; get ; rate ; source ; get ; generate_api ; generate_api ; get ; rate ; source ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Return ;Argument ;Argument ;Argument ;Argument ;Argument ;
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py, Stores the suffix to append when generating functions names.,,,int_func ; insert ; tri ; full ; fix ; append ; fix ; fix ; fix ; tri ; min ; fix ; insert ; tri ; array ; any ; array ; put ; put ; put ; put ; disp ; make_arrays ; array ; array ; replace ; replace ; place ; replace ; replace ; place ; get ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"build_func_data(types, f):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,,,,get ; ,Body ;
"TD(types, f=None, astype=None, in_=None, out=None, simd=None):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py, Description of a ufunc.    Attributes    ----------    nin : number of input arguments    nout : number of output arguments    identity : identity element for a two-argument function    docstring : docstring for the ufunc    type_descriptions : list of TypeDescription objects,,,isin ; isin ; build_func_data ; isin ; isin ; put ; put ; isin ; isin ; put ; put ; append ; tri ; put ; put ; put ; put ; identity ; identity ; tri ; identity ; tri ; identity ; identity ; identity ; identity ; identity ; identity ; identity ; tri ; tri ; tri ; _info ; info ; lower ; tri ; upper ; tri ; lower ; tri ; upper ; tri ; upper ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
