NAME,LOCATION,DESCRIPTION,PARAMETERS,RETURNS
"formatargspec(args, varargs=None, varkw=None, defaults=None,",https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Format an argument spec from the 4 values returned by getargspec.    The first four arguments are (args, varargs, varkw, defaults).  The    other four arguments are the corresponding optional formatting functions    that are called to turn names and values into strings.  The ninth    argument is an optional function to format the sequence of arguments.",,
,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,
getexception():,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,
asbytes_nested(x):,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,
asunicode_nested(x):,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/compat/setup.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,"Get API information encoded in C files.See ``find_function`` for how functions should be formatted, and``read_order`` for how the order of the functions should bespecified.",,
file_in_this_dir(filename):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
remove_whitespace(s):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
_repl(str):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
"skip_brackets(s, lbrac, rbrac):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
split_arguments(argstr):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
"find_functions(filename, tag='API'):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,"     Scan the file, looking for tagged functions.    Assuming ``tag=='API'``, a tagged function looks like::        /*API*/        static returntype*        function_name(argtype1 arg1, argtype2 arg2)        {        }    where the return type must be on a separate line, the function    name must start the line, and the opening ``{`` must start the line.    An optional documentation comment in ReST format may follow the tag,    as in::        /*API          This function does foo...         */",,
"should_rebuild(targets, source_files):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
"write_file(filename, data):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,     Write data to filename    Only write changed data to avoid updating timestamps unnecessarily,,
order_dict(d):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Order dict by its values.    o = list(d.items()) def _key(x): return x[1] + (x[0],) return sorted(o, key=_key)
",,
merge_api_dicts(dicts):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
check_api_dict(d):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Check that an api dict is valid (does not use the same index twice). # remove the extra value fields that aren't the index    index_d = {k: v[0] for k, v in d.items()}
 # We have if a same index is used twice: we 'revert' the dict so that index # become keys. If the length is different, it means one index has been used # at least twice    revert_dict = {v: k for k, v in index_d.items()} if not len(revert_dict) == len(index_d): # We compute a dict index -> list of associated items        doubled = {} for name, index in index_d.items(): try:                doubled[index].append(name) except KeyError:                doubled[index] = [name]        fmt = ""Same index has been used twice in api definition: {}""        val = ''.join( '\n\tindex {} -> {}'.format(index, names) for index, names in doubled.items() if len(names) != 1        ) raise ValueError(fmt.format(val))
 # No 'hole' in the indexes may be allowed, and it must starts at 0    indexes = set(index_d.values())    expected = set(range(len(indexes))) if indexes != expected:        diff = expected.symmetric_difference(indexes)        msg = ""There are some holes in the API indexing: "" \ ""(symmetric diff is %s)"" % diff raise ValueError(msg)
",,
"get_api_functions(tagname, api_dict):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Parse source files to get functions tagged by the given tag.    functions = [] for f in API_FILES:        functions.extend(find_functions(f, tagname))    dfunctions = [(api_dict[func.name][0], func) for func in functions]    dfunctions.sort() return [a[1] for a in dfunctions]
",,
fullapi_hash(api_dicts):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py," Given a list of api dicts defining the numpy C API, compute a checksum",,
get_versions_hash():,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_numpy_api.py,"h_template = r#if defined(_MULTIARRAYMODULE) || defined(WITH_CPYCHECKER_STEALS_REFERENCE_TO_ARG_ATTRIBUTE)typedef struct {        PyObject_HEAD        npy_bool obval;} PyBoolScalarObject;extern NPY_NO_EXPORT PyTypeObject PyArrayMapIter_Type;extern NPY_NO_EXPORT PyTypeObject PyArrayNeighborhoodIter_Type;extern NPY_NO_EXPORT PyBoolScalarObject _PyArrayScalar_BoolValues[2];%s#else#if defined(PY_ARRAY_UNIQUE_SYMBOL)#define PyArray_API PY_ARRAY_UNIQUE_SYMBOL#endif#if defined(NO_IMPORT) || defined(NO_IMPORT_ARRAY)extern void **PyArray_API;#else#if defined(PY_ARRAY_UNIQUE_SYMBOL)void **PyArray_API;#elsestatic void **PyArray_API=NULL;#endif#endif%s#if !defined(NO_IMPORT_ARRAY) && !defined(NO_IMPORT)static int_import_array(void){  int st;  PyObject *numpy = PyImport_ImportModule(""numpy.core._multiarray_umath"");  PyObject *c_api = NULL;  if (numpy == NULL) {      return -1;  }  c_api = PyObject_GetAttrString(numpy, ""_ARRAY_API"");  Py_DECREF(numpy);  if (c_api == NULL) {      PyErr_SetString(PyExc_AttributeError, ""_ARRAY_API not found"");      return -1;  }#if PY_VERSION_HEX >= 0x03000000  if (!PyCapsule_CheckExact(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is not PyCapsule object"");      Py_DECREF(c_api);      return -1;  }  PyArray_API = (void **)PyCapsule_GetPointer(c_api, NULL);#else  if (!PyCObject_Check(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is not PyCObject object"");      Py_DECREF(c_api);      return -1;  }  PyArray_API = (void **)PyCObject_AsVoidPtr(c_api);#endif  Py_DECREF(c_api);  if (PyArray_API == NULL) {      PyErr_SetString(PyExc_RuntimeError, ""_ARRAY_API is NULL pointer"");      return -1;  }  /* Perform runtime check of C API version */  if (NPY_VERSION != PyArray_GetNDArrayCVersion()) {      PyErr_Format(PyExc_RuntimeError, ""module compiled against ""\             ""ABI version 0x%%x but this version of numpy is 0x%%x"", \ (int) NPY_VERSION, (int) PyArray_GetNDArrayCVersion());      return -1;  }  if (NPY_FEATURE_VERSION > PyArray_GetNDArrayCFeatureVersion()) {      PyErr_Format(PyExc_RuntimeError, ""module compiled against ""\             ""API version 0x%%x but this version of numpy is 0x%%x"", \ (int) NPY_FEATURE_VERSION, (int) PyArray_GetNDArrayCFeatureVersion());      return -1;  }  /* * Perform runtime check of endianness and check it matches the one set by * the headers (npy_endian.h) as a safeguard */  st = PyArray_GetEndianness();  if (st == NPY_CPU_UNKNOWN_ENDIAN) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as unknown endian"");      return -1;  }#if NPY_BYTE_ORDER == NPY_BIG_ENDIAN  if (st != NPY_CPU_BIG) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as ""\             ""big endian, but detected different endianness at runtime"");      return -1;  }#elif NPY_BYTE_ORDER == NPY_LITTLE_ENDIAN  if (st != NPY_CPU_LITTLE) {      PyErr_Format(PyExc_RuntimeError, ""FATAL: module compiled as ""\             ""little endian, but detected different endianness at runtime"");      return -1;  }#endif  return 0;}#if PY_VERSION_HEX >= 0x03000000#define NUMPY_IMPORT_ARRAY_RETVAL NULL#else#define NUMPY_IMPORT_ARRAY_RETVAL#endif#define import_array() {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, ""numpy.core.multiarray failed to import""); return NUMPY_IMPORT_ARRAY_RETVAL; } }#define import_array1(ret) {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, ""numpy.core.multiarray failed to import""); return ret; } }#define import_array2(msg, ret) {if (_import_array() < 0) {PyErr_Print(); PyErr_SetString(PyExc_ImportError, msg); return ret; } }#endif#endif",,
"generate_api(output_dir, force=False):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_numpy_api.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_ufunc_api.py,"h_template = r#ifdef _UMATHMODULEextern NPY_NO_EXPORT PyTypeObject PyUFunc_Type;%s#else#if defined(PY_UFUNC_UNIQUE_SYMBOL)#define PyUFunc_API PY_UFUNC_UNIQUE_SYMBOL#endif#if defined(NO_IMPORT) || defined(NO_IMPORT_UFUNC)extern void **PyUFunc_API;#else#if defined(PY_UFUNC_UNIQUE_SYMBOL)void **PyUFunc_API;#elsestatic void **PyUFunc_API=NULL;#endif#endif%sstatic NPY_INLINE int_import_umath(void){  PyObject *numpy = PyImport_ImportModule(""numpy.core._multiarray_umath"");  PyObject *c_api = NULL;  if (numpy == NULL) {      PyErr_SetString(PyExc_ImportError,                      ""numpy.core._multiarray_umath failed to import"");      return -1;  }  c_api = PyObject_GetAttrString(numpy, ""_UFUNC_API"");  Py_DECREF(numpy);  if (c_api == NULL) {      PyErr_SetString(PyExc_AttributeError, ""_UFUNC_API not found"");      return -1;  }#if PY_VERSION_HEX >= 0x03000000  if (!PyCapsule_CheckExact(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is not PyCapsule object"");      Py_DECREF(c_api);      return -1;  }  PyUFunc_API = (void **)PyCapsule_GetPointer(c_api, NULL);#else  if (!PyCObject_Check(c_api)) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is not PyCObject object"");      Py_DECREF(c_api);      return -1;  }  PyUFunc_API = (void **)PyCObject_AsVoidPtr(c_api);#endif  Py_DECREF(c_api);  if (PyUFunc_API == NULL) {      PyErr_SetString(PyExc_RuntimeError, ""_UFUNC_API is NULL pointer"");      return -1;  }  return 0;}#if PY_VERSION_HEX >= 0x03000000#define NUMPY_IMPORT_UMATH_RETVAL NULL#else#define NUMPY_IMPORT_UMATH_RETVAL#endif#define import_umath() \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\            return NUMPY_IMPORT_UMATH_RETVAL;\        }\    } while(0)#define import_umath1(ret) \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\            return ret;\        }\    } while(0)#define import_umath2(ret, msg) \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError, msg);\            return ret;\        }\    } while(0)#define import_ufunc() \    do {\        UFUNC_NOFPE\        if (_import_umath() < 0) {\            PyErr_Print();\            PyErr_SetString(PyExc_ImportError,\                    ""numpy.core.umath failed to import"");\        }\    } while(0)#endif",,
"generate_api(output_dir, force=False):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_ufunc_api.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py, Stores the suffix to append when generating functions names.,,
"build_func_data(types, f):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,,,
"TD(types, f=None, astype=None, in_=None, out=None, simd=None):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py, Description of a ufunc.    Attributes    ----------    nin : number of input arguments    nout : number of output arguments    identity : identity element for a two-argument function    docstring : docstring for the ufunc    type_descriptions : list of TypeDescription objects,,
english_upper(s):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,"  Apply English case rules to convert ASCII strings to all upper case.    This is an internal utility function to replace calls to str.upper() such    that we can avoid changing behavior with changing locales. In particular,    Turkish has distinct dotted and dotless variants of the Latin letter ""I"" in    both lowercase and uppercase. Thus, ""i"".upper() != ""I"" in a ""tr"" locale.",s : str,uppered : str
"indent(st, spaces):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,,,
make_arrays(funcdict):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,"                        code2list.append(textwrap.dedent(\                        #ifdef HAVE_ATTRIBUTE_TARGET_{ISA}                        if (npy_cpu_supports(""{isa}"")) {{ {fname}_functions[{idx}] = {type}_{fname}_{isa}; }}                        #endif",,
make_ufuncs(funcdict):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/generate_umath.py,"        fmt = textwrap.dedent(\            identity = {identity_expr};            if ({has_identity} && identity == NULL) {{                return -1; }}            f = PyUFunc_FromFuncAndDataAndSignatureAndIdentity( {name}_functions, {name}_data, {name}_signatures, {nloops}, {nin}, {nout}, {identity}, ""{name}"",                ""{doc}"", 0, {sig}, identity            );            if ({has_identity}) {{                Py_DECREF(identity); }}            if (f == NULL) {{                return -1; }}",,
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/ufunc_docstrings.py,,,
get(name):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/ufunc_docstrings.py," 'PARAMS': textwrap.dedent(        out : ndarray, None, or tuple of ndarray and None, optional            A location into which the result is stored. If provided, it must have            a shape that the inputs broadcast to. If not provided or `None`,            a freshly-allocated array is returned. A tuple (possible only as a            keyword argument) must have length equal to the number of outputs.        where : array_like, optional            This condition is broadcast over the input. At locations where the            condition is True, the `out` array will be set to the ufunc result.            Elsewhere, the `out` array will retain its original value.            Note that if an uninitialized `out` array is created via the default            ``out=None``, locations within it where the condition is False will            remain uninitialized.        **kwargs            For other keyword-only arguments, see the            :ref:`ufunc docs <ufuncs.kwargs>`.",,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/_locales.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_array_array():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_fastCopyAndTranspose():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_array_astype():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_array_astype_warning(t):,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_copyto_fromscalar():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_copyto():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_copyto_permut():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_copy_order():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
test_contiguous_flags():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_api.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_arrayprint.py," Basic test of array2string.        a = np.arange(3)        assert_(np.array2string(a) == '[0 1 2]')        assert_(np.array2string(a, max_line_width=4, legacy='1.13') == '[0 1\n 2]')        assert_(np.array2string(a, max_line_width=4) == '[0\n 1\n 2]')
 def test_unexpected_kwarg(self): # ensure than an appropriate TypeError # is raised when array2string receives # an unexpected kwarg
 with assert_raises_regex(TypeError, 'nonsense'):            np.array2string(np.array([1, 2, 3]), nonsense=None)
 def test_format_function(self):",,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_defchararray.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py,,,
"assert_dtype_equal(a, b):",https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py,,,
"assert_dtype_not_equal(a, b):",https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py," Only test hash runs at all.        dt = np.dtype(t) hash(dt)
 @pytest.mark.parametrize('t', [int, float]) def test_dtype(self, t): # Make sure equivalent byte order char hash the same (e.g. < and = on # little endian)        dt = np.dtype(t)        dt2 = dt.newbyteorder(""<"")        dt3 = dt.newbyteorder("">"") if dt == dt2:            assert_(dt.byteorder != dt2.byteorder, ""bogus test"")            assert_dtype_equal(dt, dt2) else:            assert_(dt.byteorder != dt3.byteorder, ""bogus test"")            assert_dtype_equal(dt, dt3)
 def test_equivalent_dtype_hashing(self): # Make sure equivalent dtypes with different type num hash equal        uintp = np.dtype(np.uintp) if uintp.itemsize == 4:            left = uintp            right = np.dtype(np.uint32) else:            left = uintp            right = np.dtype(np.ulonglong)        assert_(left == right)        assert_(hash(left) == hash(right))
 def test_invalid_types(self): # Make sure invalid type strings raise an error
        assert_raises(TypeError, np.dtype, 'O3')        assert_raises(TypeError, np.dtype, 'O5')        assert_raises(TypeError, np.dtype, 'O7')        assert_raises(TypeError, np.dtype, 'b3')        assert_raises(TypeError, np.dtype, 'h4')        assert_raises(TypeError, np.dtype, 'I5')        assert_raises(TypeError, np.dtype, 'e3')        assert_raises(TypeError, np.dtype, 'f5')
 if np.dtype('g').itemsize == 8 or np.dtype('g').itemsize == 16:            assert_raises(TypeError, np.dtype, 'g12') elif np.dtype('g').itemsize == 12:            assert_raises(TypeError, np.dtype, 'g16')
 if np.dtype('l').itemsize == 8:            assert_raises(TypeError, np.dtype, 'l4')            assert_raises(TypeError, np.dtype, 'L4') else:            assert_raises(TypeError, np.dtype, 'l8')            assert_raises(TypeError, np.dtype, 'L8')
 if np.dtype('q').itemsize == 8:            assert_raises(TypeError, np.dtype, 'q4')            assert_raises(TypeError, np.dtype, 'Q4') else:            assert_raises(TypeError, np.dtype, 'q8')            assert_raises(TypeError, np.dtype, 'Q8')
 def test_bad_param(self): # Can't give a size that's too small        assert_raises(ValueError, np.dtype,                        {'names':['f0', 'f1'], 'formats':['i4', 'i1'], 'offsets':[0, 4], 'itemsize':4}) # If alignment is enabled, the alignment (4) must divide the itemsize        assert_raises(ValueError, np.dtype,                        {'names':['f0', 'f1'], 'formats':['i4', 'i1'], 'offsets':[0, 4], 'itemsize':9}, align=True) # If alignment is enabled, the individual fields must be aligned        assert_raises(ValueError, np.dtype,                        {'names':['f0', 'f1'], 'formats':['i1', 'f4'], 'offsets':[0, 2]}, align=True)
 def test_field_order_equality(self):        x = np.dtype({'names': ['A', 'B'],  'formats': ['i4', 'f4'],  'offsets': [0, 4]})        y = np.dtype({'names': ['B', 'A'],  'formats': ['f4', 'i4'],  'offsets': [4, 0]})        assert_equal(x == y, False)
class TestRecord(object): def test_equivalent_record(self):",,
iter_struct_object_dtypes():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py,     Iterates over a few complex dtypes and object pattern which    fill the array with a given object (defaults to a singleton).    Yields    ------    dtype : dtype    pattern : tuple        Structured tuple for use with `np.array`.    count : int        Number of objects stored in the dtype.    singleton : object        A singleton object. The returned pattern is constructed so that        all objects inside the datatype are set to the singleton.,,
test_rational_dtype():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py,,,
test_dtypes_are_true():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_dtype.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_einsum.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
exc_iter(*args):,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,"     Iterate over Cartesian product of *args, and if an exception is raised,    add information of the current iterate.",,
test_safe_binop():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_to_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_to_64():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_mul_64_64():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_add_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_sub_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_neg_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_shl_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_shr_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_gt_128():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_divmod_128_64():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
test_floordiv_128_64():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_extint128.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_getlimits.py,,,
test_instances():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_getlimits.py,,,
"assert_ma_equal(discovered, ma_like):",https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_getlimits.py,,,
test_known_types():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_getlimits.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_half.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_scalar_extraction():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py," Confirm that extracting a value doesn't convert to python float    o = 1 + LD_INFO.eps    a = np.array([o, o, o])    assert_equal(a[1], o)

# Conversions string -> long double
# 0.1 not exactly representable in base 2 floating point.repr_precision = len(repr(np.longdouble(0.1)))# +2 from macro block starting around line 842 in scalartypes.c.src.@pytest.mark.skipif(LD_INFO.precision + 2 >= repr_precision, reason=""repr precision not enough to show eps"")",,
test_repr_roundtrip():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_unicode():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_string():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_bytes():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_repr_roundtrip_bytes():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_bogus_string():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_fromstring():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_fromstring_bogus():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_fromstring_empty():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_fromstring_missing():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_repr_exact():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_format():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_percent():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_array_repr():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
test_longdouble_from_int(int_val):,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_longdouble.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py,,,
_indices_for_nelems(nelems):,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py," Returns slices of length nelems, from start onwards, in direction sign.
 if nelems == 0: return [size // 2]  # int index
    res = [] for step in (1, 2): for sign in (-1, 1):            start = size // 2 - nelems * step * sign // 2            stop = start + nelems * step * sign            res.append(slice(start, stop, step * sign))
 return res

",,
_indices_for_axis():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py," Returns (src, dst) pairs of indices.
    res = [] for nelems in (0, 2, 3):        ind = _indices_for_nelems(nelems)
 # no itertools.product available in Py2.4        res.extend([(a, b) for a in ind for b in ind])  # all assignments of size ""nelems""
 return res

",,
_indices(ndims):,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py," Returns ((axis0_src, axis0_dst), (axis1_src, axis1_dst), ... ) index pairs.
    ind = _indices_for_axis()
 # no itertools.product available in Py2.4
    res = [[]] for i in range(ndims):        newres = [] for elem in ind: for others in res:                newres.append([elem] + others)        res = newres
 return res

",,
"_check_assignment(srcidx, dstidx):",https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py," Check assignment arr[dstidx] = arr[srcidx] works.
    arr = np.arange(np.product(shape)).reshape(shape)
    cpy = arr.copy()
    cpy[dstidx] = arr[srcidx]    arr[dstidx] = arr[srcidx]
    assert_(np.all(arr == cpy), 'assigning arr[%s] = arr[%s]' % (dstidx, srcidx))

",,
test_overlapping_assignments():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py,,,
test_diophantine_fuzz():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py,,,
test_diophantine_overflow():,https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py,,,
"check_may_share_memory_exact(a, b):",https://github.com//numpy/numpy/blob/master/numpy/core/tests/test_mem_overlap.py,,,
